segment_id,activation_profile,active_but_not_enabled,enabled_but_not_active
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/10,101,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/11,10,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/3,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/4,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/5,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/6,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/7,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/8,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-03-57/9,01,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/10,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/11,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/12,10,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/13,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/14,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/7,01,False,True
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/8,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-27--06-50-48/9,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--11-17-20/3,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--11-17-20/4,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--11-17-20/5,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--11-17-20/6,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--11-17-20/7,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--12-02-42/27,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--12-02-42/28,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--12-02-42/29,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--12-02-42/30,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--12-02-42/31,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--16-37-17/4,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-29--16-37-17/5,010,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/14,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/15,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/16,01,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/17,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/18,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/20,1,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/21,10,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-03-07/22,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-44-30/10,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-44-30/11,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-44-30/12,0,False,False
Chunk_1/b0c9d2329ad1606b_2018-07-30--13-44-30/13,0,False,False
